,date,sentiment,Count,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,diff,bin_sentiment,bin_diff
38,2014-06-27,54,88,AAPL,90.82,92.0,90.77,91.98,64029000.0,0.0,1.0,85.8295283997,86.9446885353,85.7822758516,86.925787516,64029000.0,1.16,1,1
39,2014-06-30,98,137,AAPL,92.1,93.725,92.09,92.93,49589000.0,0.0,1.0,87.0391936315,88.5749014453,87.0297431219,87.8235859302,49589000.0,0.83,1,1
40,2014-07-01,-8,93,AAPL,93.52,94.07,93.13,93.52,38223000.0,0.0,1.0,88.381165998,88.9009440273,88.0125961227,88.381165998,38223000.0,0.0,-1,0
41,2014-07-02,23,85,AAPL,93.865,94.06,93.09,93.48,28465000.0,0.0,1.0,88.70720858,88.8914935177,87.9747940842,88.3433639595,28465000.0,-0.385,1,-1
42,2014-07-03,51,138,AAPL,93.67,94.1,93.2,94.03,22891800.0,0.0,1.0,88.5229236424,88.9292955562,88.0787496901,88.8631419888,22891800.0,0.36,1,1
43,2014-07-07,103,219,AAPL,94.14,95.99,94.1,95.968,56468000.0,0.0,1.0,88.9670975947,90.715441875,88.9292955562,90.6946507538,56468000.0,1.828,1,1
44,2014-07-08,106,224,AAPL,96.27,96.8,93.92,95.35,65222000.0,0.0,1.0,90.9800561445,91.4809331545,88.759186383,90.1106092591,65222000.0,-0.92,1,-1
45,2014-07-09,69,315,AAPL,95.44,95.95,94.76,95.39,36436000.0,0.0,1.0,90.1956638457,90.6776398365,89.5530291913,90.1484112976,36436000.0,-0.05,1,-1
46,2014-07-10,29,282,AAPL,93.76,95.55,93.52,95.035,39686000.0,0.0,1.0,88.607978229,90.2996194516,88.381165998,89.812918206,39686000.0,1.275,1,1
47,2014-07-11,-7,119,AAPL,95.36,95.89,94.8625,95.22,34018000.0,0.0,1.0,90.1200597687,90.6209367788,89.649896915,89.987752634,34018000.0,-0.14,-1,-1
48,2014-07-14,37,290,AAPL,95.86,96.89,95.65,96.45,42810000.0,0.0,1.0,90.5925852499,91.5659877411,90.3941245478,91.1501653177,42810000.0,0.59,1,1
49,2014-07-15,27,229,AAPL,96.8,96.85,95.03,95.32,45477900.0,0.0,1.0,91.4809331545,91.5281857026,89.8081929512,90.0822577302,45477900.0,-1.48,1,-1
50,2014-07-16,-10,196,AAPL,96.97,97.1,94.74,94.78,53502000.0,0.0,1.0,91.6415918181,91.7644484432,89.5341281721,89.5719302106,53502000.0,-2.19,-1,-1
51,2014-07-17,28,96,AAPL,95.03,95.279,92.57,93.0899,57298000.0,0.0,1.0,89.8081929512,90.0435106408,87.4833675838,87.9746995791,57298000.0,-1.9401,1,-1
52,2014-07-18,-5,128,AAPL,93.62,94.74,93.02,94.43,49988000.0,0.0,1.0,88.4756710943,89.5341281721,87.9086405169,89.2411623738,49988000.0,0.81,-1,1
53,2014-07-21,158,350,AAPL,94.99,95.0,93.72,93.939,39079000.0,0.0,1.0,89.7703909127,89.7798414223,88.5701761905,88.7771423512,39079000.0,-1.051,1,-1
54,2014-07-22,48,295,AAPL,94.68,94.89,94.12,94.72,55197000.0,0.0,1.0,89.4774251143,89.6758858164,88.9481965754,89.5152271528,55197000.0,0.04,1,1
55,2014-07-23,5,274,AAPL,95.42,97.88,95.17,97.19,92918000.0,0.0,1.0,90.1767628265,92.5015881938,89.9405000859,91.8495030298,92918000.0,1.77,1,1
56,2014-07-24,77,130,AAPL,97.035,97.32,96.42,97.03,45729000.0,0.0,1.0,91.7030201306,91.9723596549,91.1218137888,91.6982948758,45729000.0,-0.005,1,-1
57,2014-07-25,27,42,AAPL,96.85,97.84,96.64,97.671,43469000.0,0.0,1.0,91.5281857026,92.4637861553,91.3297250005,92.3040725427,43469000.0,0.821,1,1
58,2014-07-28,12,121,AAPL,97.82,99.24,97.55,99.02,55318000.0,0.0,1.0,92.4448851361,93.7868575026,92.1897213763,93.5789462909,55318000.0,1.2,1,1
59,2014-07-29,24,78,AAPL,99.33,99.44,98.25,98.38,43143000.0,0.0,1.0,93.8719120892,93.9758676951,92.8512570499,92.974113675,43143000.0,-0.95,1,-1
